network_address,prefixlen,bgp_prefix,asn,responsive_addresses,port,date,location
34.8.111.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.112.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.113.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.114.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.115.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.116.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.117.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.118.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.119.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.120.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.121.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.122.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.123.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.124.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.125.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.126.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.127.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
34.8.128.0,24,34.8.0.0/13,396982,256,80,20260204,nl-ens
